thread_root_uri,thread_root_author,target_post_uri,target_post_author,target_post_text,target_likes,target_replies,target_reposts,target_quotes,target_created_at,parent_1_uri,parent_1_author,parent_1_text,parent_1_likes,parent_1_replies,parent_1_reposts,parent_1_quotes,parent_1_created_at,parent_2_uri,parent_2_author,parent_2_text,parent_2_likes,parent_2_replies,parent_2_reposts,parent_2_quotes,parent_2_created_at,parent_3_uri,parent_3_author,parent_3_text,parent_3_likes,parent_3_replies,parent_3_reposts,parent_3_quotes,parent_3_created_at,reply_1_uri,reply_1_author,reply_1_text,reply_1_likes,reply_1_replies,reply_1_reposts,reply_1_quotes,reply_1_created_at,reply_2_uri,reply_2_author,reply_2_text,reply_2_likes,reply_2_replies,reply_2_reposts,reply_2_quotes,reply_2_created_at,reply_3_uri,reply_3_author,reply_3_text,reply_3_likes,reply_3_replies,reply_3_reposts,reply_3_quotes,reply_3_created_at
at://did:plc:llovslinz2hv4clmpqolaupu/app.bsky.feed.post/3lapcsehjsk2t,bvrlytweetmaker.bsky.social,at://did:plc:llovslinz2hv4clmpqolaupu/app.bsky.feed.post/3lapcsehjsk2t,bvrlytweetmaker.bsky.social,"Went back to twitter and saw a libertarian mutual post something like ""all you folks leaving for Bluesky, enjoy your echo chamber!"" I'm laughing at the thought that uninformed asshats yelling at you i...",16,3,0,0,2024-11-11T21:57:42.795Z,,,,,,,,,,,,,,,,,,,,,,,,,at://did:plc:nnhxopnao44thtmwwz3n3lxx/app.bsky.feed.post/3lapdpa22wc2l,ches.baby,Anyone who believes that social media is a good place for well-reasoned intellectual debate is very misguided...,1,0,0,0,2024-11-11T22:13:51.238Z,at://did:plc:mqlzqbywkf4rzykpveji7r3c/app.bsky.feed.post/3laqztprlyc2g,barryfischer.bsky.social,"All you leaving for Bluesky, enjoy your echo chamber echo chamber echo chamber…...",0,0,0,0,2024-11-12T14:22:44.014Z,at://did:plc:llovslinz2hv4clmpqolaupu/app.bsky.feed.post/3lapcwmzpj22t,bvrlytweetmaker.bsky.social,Also I fucking go to bars. In real life. I talk to all sorts of people there....,4,1,0,0,2024-11-11T22:00:05.997Z
at://did:plc:mnpxsw4nrnusoufoaoegaole/app.bsky.feed.post/3lapbuat2a226,tonybjohnson.bsky.social,at://did:plc:mnpxsw4nrnusoufoaoegaole/app.bsky.feed.post/3lapbuat2a226,tonybjohnson.bsky.social,"Hi Bluesky! I am incredibly butthurt that my candidate lost so I've shuttled off to this echo chamber to wash myself in cognitive reinforcement. Also, I have a degree which means that I'm good at foll...",1,1,0,0,2024-11-11T21:40:52.344Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:2oati2yu4ubwmzj743h4dlhs/app.bsky.feed.post/3lap7ct2x7m2y,nathanjingst.bsky.social,at://did:plc:w5ets5gtnyakzslgui47zsln/app.bsky.feed.post/3lapbkbzhzs2d,jrmeadows.bsky.social,"Hopefully, there are people here with more conservative leaning opinions and bluesky is just doing a great job of removing propaganda. I think its important to have those with different viewpoints so ...",1,0,0,0,2024-11-11T21:35:18.060Z,at://did:plc:2oati2yu4ubwmzj743h4dlhs/app.bsky.feed.post/3lap7ct2x7m2y,nathanjingst.bsky.social,"Wait, where's all the right wing propaganda? I thought all social media had that...",1,1,0,0,2024-11-11T20:55:20.014Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:6wthaiuqiys3y7eztkpsdam2/app.bsky.feed.post/3lap4w2t2g42h,lepapillonblue.bsky.social,at://did:plc:elsi5ay5ij3izav3kriunae4/app.bsky.feed.post/3lapaoibhk22g,mzzrach.bsky.social,"I've only had a couple who were blocked straightaway. 

Loving Bluesky especially as the blue influx is ongoing right now. X will end up being an echo chamber of hate and nothing more....",2,0,0,0,2024-11-11T21:19:45.089Z,at://did:plc:6wthaiuqiys3y7eztkpsdam2/app.bsky.feed.post/3lap4w2t2g42h,lepapillonblue.bsky.social,Have you noticed the peace when there are no magats around? It’s lovely....,1991,150,155,9,2024-11-11T20:12:24.250Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:vjjez2nq6btevgkok33fqxvr/app.bsky.feed.post/3lap75xortk27,msicism.bsky.social,at://did:plc:vjjez2nq6btevgkok33fqxvr/app.bsky.feed.post/3lap75xortk27,msicism.bsky.social,"The concern over block lists on Bluesky is just more misguided liberal claptrap. “Don’t be an echo chamber!” 

But there’s a point where argument must stop. YOU ARE UNDER NO OBLIGATION TO ARGUE WITH S...",2,0,0,0,2024-11-11T20:52:37.086Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:jgiahz7rudaytgyor3uh5udi/app.bsky.feed.post/3lap6fx34cs2b,jessej468.bsky.social,at://did:plc:jgiahz7rudaytgyor3uh5udi/app.bsky.feed.post/3lap6fx34cs2b,jessej468.bsky.social,"Yesterday, I had a troll on here claiming all I'm doing is hiding in an ""echo chamber.""
Interesting, because you could call any circle of friends and allies an ""echo chamber.""
What makes the differenc...",17,0,1,0,2024-11-11T20:39:11.136Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:p567vy5k4fcgvscwqn3rrmql/app.bsky.feed.post/3laowlfvzys2z,mimi-k.bsky.social,at://did:plc:st4325ljqnkwdbst2uqwjr6m/app.bsky.feed.post/3lap5dhea7k2w,thirdfiddle.bsky.social,Typical judgment from the closeminded Bluesky echo chamber. Have you considered the possibility that dumpster water is delicious?...,2,1,0,0,2024-11-11T20:19:53.807Z,at://did:plc:p567vy5k4fcgvscwqn3rrmql/app.bsky.feed.post/3laowlfvzys2z,mimi-k.bsky.social,Then she asked where they got there news from...,48,5,12,15,2024-11-11T18:19:04.532Z,at://did:plc:smzoy5oeafc4s4vrnuivdqhn/app.bsky.feed.post/3laozashgys2v,chriscaple.bsky.social,"These responses are not dissimilar to saying ""I get my drinking water from a pothole next to a leaking dumpster in the alley behind my building after ...",11,1,1,0,2024-11-11T19:06:49.816Z,,,,,,,,,at://did:plc:smzoy5oeafc4s4vrnuivdqhn/app.bsky.feed.post/3lap6ngo5zc2k,chriscaple.bsky.social,I'm given to understand that the Department of Health & Human Services under RFK Jr will be mandating the drinking of one quart of fresh raw dumpster ...,3,1,0,0,2024-11-11T20:43:22.369Z,,,,,,,,,,,,,,,,
at://did:plc:itcqruu6tvm4sjbzffscuao6/app.bsky.feed.post/3laovq2q7i22o,elivalley.bsky.social,at://did:plc:hbcal7dpdi22xnh4jneqjn4z/app.bsky.feed.post/3lap2js67f52o,getradified.net,I am pretty convinced that most people on here explicitly do not want to engage with the outside world. Like I’ve always considered the whole “echo chamber” notion of social media self-organization to...,12,1,0,0,2024-11-11T19:29:45.244Z,at://did:plc:itcqruu6tvm4sjbzffscuao6/app.bsky.feed.post/3laovq2q7i22o,elivalley.bsky.social,"Trying to reduce posting on the Nazi site, but keeping up on news/propaganda isn't yet possible outside of it. E.g. Amsterdam this wknd—I saw almost n...",365,18,33,3,2024-11-11T18:03:46.841Z,at://did:plc:itcqruu6tvm4sjbzffscuao6/app.bsky.feed.post/3laovtfmzcc2o,elivalley.bsky.social,"I don't know how other people do it—e.g., if you just lurk there and post here—but it's a bit disorienting, esp during cataclysm....",112,7,2,0,2024-11-11T18:05:38.933Z,at://did:plc:itcqruu6tvm4sjbzffscuao6/app.bsky.feed.post/3lap2gtat3s2o,elivalley.bsky.social,"Some replies are saying this is self-fulfilling because we haven't all deactivated, but this isn't what I'm talking about. I'm thinking of the immedia...",92,3,4,0,2024-11-11T19:28:05.715Z,at://did:plc:odc7p5pe7kya6h3rwixmvun5/app.bsky.feed.post/3lapbqx3ev22t,neinmc.bsky.social,"""Welcome to the Good Site! We're better, because on here we don't just not interact with people who are pRobLeMaTiC; ideally, they aren't even here in...",1,0,0,0,2024-11-11T21:39:01.468Z,,,,,,,,,,,,,,,,
at://did:plc:p4pfu7nk5awf2jgkhwkjyf6g/app.bsky.feed.post/3laoyfi7uas2w,mvonschantz.bsky.social,at://did:plc:p4pfu7nk5awf2jgkhwkjyf6g/app.bsky.feed.post/3laoyfi7uas2w,mvonschantz.bsky.social,"Agree! Although I also suspect that it's connected with why I approve of Bluesky over Xitter, which shamelessly collects information about me to present me with instructions about how to build my own ...",1,0,0,0,2024-11-11T18:51:33.110Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:h7jgurd6ofm4gyg2gade6nob/app.bsky.feed.post/3laoxhdaljs22,dvdbutler.bsky.social,at://did:plc:h7jgurd6ofm4gyg2gade6nob/app.bsky.feed.post/3laoxhdaljs22,dvdbutler.bsky.social,"Some Bluesky residents really think that this platform is just their echo chamber and it's really disturbing. 

There are still feeds on here via the 'Discover' option and you can search for hot topic...",0,1,0,0,2024-11-11T18:34:41.260Z,,,,,,,,,,,,,,,,,,,,,,,,,at://did:plc:h7jgurd6ofm4gyg2gade6nob/app.bsky.feed.post/3laoxnan7xk22,dvdbutler.bsky.social,"Also, I know everyone was burned pretty hard by Twitter, but even before Musk, you were encouraged to engage with each other on SOCIAL MEDIA and anyth...",0,1,0,0,2024-11-11T18:37:59.855Z,,,,,,,,,,,,,,,,
at://did:plc:mdjo5t63hdnfe5qaykvlsmax/app.bsky.feed.post/3laovytoiwk25,briantransplant.com,at://did:plc:mdjo5t63hdnfe5qaykvlsmax/app.bsky.feed.post/3laovytoiwk25,briantransplant.com,"I keep seeing the term ""echo chamber"" used to describe Bluesky, by debate bros who aren't getting the rage dopamine they want.

That means the blocking is working. Keep it up!...",18,2,0,0,2024-11-11T18:08:41.434Z,,,,,,,,,,,,,,,,,,,,,,,,,at://did:plc:zrjsyhxotzx5febx5cn4gkjb/app.bsky.feed.post/3laowmpzuuc2h,davelikesska.bsky.social,"I quite like mostly seeing things I agree with actually. If I'm in the physical presence of opinions I don't like, why should I stand there and listen...",2,1,0,0,2024-11-11T18:19:48.700Z,at://did:plc:pwm4rmtcs4su7ybv5rxtmrsg/app.bsky.feed.post/3laow2nvn2c2z,mxdshipwreck.bsky.social,And micro-celebs who are angry that their contrarian hot take isn't getting 11k likes the way it would over on Nazi Central...,6,0,0,0,2024-11-11T18:09:42.486Z,,,,,,,,
at://did:plc:vynz4eygaibtbdaquicjyygp/app.bsky.feed.post/3laovxpav4s2o,12bly.bsky.social,at://did:plc:vynz4eygaibtbdaquicjyygp/app.bsky.feed.post/3laovxpav4s2o,12bly.bsky.social,"""With Bluesky, the social media echo chamber is back in vogue"", Financial Times www.ft.com/content/6596......",1,0,0,0,2024-11-11T18:08:03.240Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:3r6c5gqofkxxqssq25x4xdge/app.bsky.feed.post/3laovp62jbc2i,andipandipie.bsky.social,at://did:plc:3r6c5gqofkxxqssq25x4xdge/app.bsky.feed.post/3laovp62jbc2i,andipandipie.bsky.social,"New to Bluesky. Escaping the echo chamber of hate!!

Starting off with pics of our sweet rescue, Hazel!💙...",9,1,0,0,2024-11-11T18:03:16.767Z,,,,,,,,,,,,,,,,,,,,,,,,,at://did:plc:z6suji3yveg6nzq2nu2suup3/app.bsky.feed.post/3laqu3bm7oc2y,andicougevan.bsky.social,Bingo and Bella looking down on us as cats are want to do....,1,1,0,0,2024-11-12T12:39:35.138Z,,,,,,,,,,,,,,,,
